FID,ECB,Y,Ylog,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
53,0,0,0,9,48,0,3,14,0,1,1,1,4,10,2,21,0,0
54,0,0,0,10,23,0,2,13,0,0,1,0,3,23,4,16,0,0
55,0,0,0,8,30,0,2,9,1,0,1,0,3,9,10,11,0,2
56,0,0,0,3,18,0,0,0,2,2,2,1,0,8,4,7,0,0
57,0,0,0,8,25,0,0,7,1,4,0,1,0,4,0,5,0,0
58,0,0,0,5,23,1,0,9,0,2,0,0,4,11,3,2,0,1
59,0,0,0,12,10,1,2,18,1,4,1,0,30,4,2,16,0,2
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0
61,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,32,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
66,0,0,0,2,3,0,0,2,0,0,1,0,0,7,1,5,0,0
67,0,0,0,3,1,0,0,4,1,0,1,0,4,2,0,1,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,8,12,1,1,4,3,2,1,0,0,17,2,2,0,0
70,0,0,0,1,7,0,0,3,1,0,0,1,1,3,0,5,0,0
71,0,0,0,15,19,0,3,11,3,2,0,0,1,5,3,3,0,0
72,0,0,0,8,24,0,1,12,1,0,0,0,4,7,2,4,0,0
73,0,0,0,7,16,0,0,7,1,1,0,0,6,10,1,4,0,2
74,0,0,0,8,6,0,3,12,5,4,0,3,16,24,3,11,0,1
75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0
76,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
